post_id,posted_at,caption_snippet,format,reach,impressions,likes,comments,saves,shares,profile_visits,follows_from_post,approx_link_clicks,salon_name
ig_jn_240501,2026-05-01T18:02:00,"Tuesday lineup open — Jenny's Nails",Reel,1842,4120,126,22,38,12,89,4,28,Jenny's Nails
ig_jn_240503,2026-05-03T12:30:00,"Before / after chrome french 🤍",Carousel,3210,9050,412,55,120,41,210,11,62,Jenny's Nails
ig_jn_240505,2026-05-05T09:15:00,"Mother's Day duos — book now",Image,980,2104,67,8,14,3,42,1,15,Jenny's Nails
ig_jn_240507,2026-05-07T19:45:00,"Dip powder color drop 🔮",Reel,2655,7022,289,31,95,28,176,7,48,Jenny's Nails
ig_jn_240509,2026-05-09T16:20:00,"Walk-in Saturday tips",Story set,—,12400,—,—,—,—,—,—,—,Jenny's Nails
ig_jn_240510,2026-05-10T11:00:00,"Meet Maya — pedicure specialist",Reel,1420,3890,88,14,22,6,61,2,19,Jenny's Nails
ig_jn_240512,2026-05-12T08:30:00,"This week's availability 👇 link in bio",Image,1122,2455,45,12,9,2,55,3,22,Jenny's Nails
ig_jn_240513,2026-05-13T17:10:00,"Soft glam nails for prom ✨",Reel,4102,11204,501,64,188,52,302,18,71,Jenny's Nails
ig_jn_240514,2026-05-14T10:05:00,"Retail: cuticle oil restock",Image,640,1388,29,4,6,1,18,0,7,Jenny's Nails
ig_jn_240515,2026-05-15T14:40:00,"Team appreciation post 💅",Carousel,890,1940,54,17,11,4,33,2,9,Jenny's Nails
ig_jn_240516,2026-05-16T20:22:00,"ASMR filing (sound on)",Reel,5021,14002,620,41,210,67,245,9,54,Jenny's Nails
ig_jn_240517,2026-05-17T12:00:00,"Poll: matte or glossy?",Story set,—,8900,—,—,—,—,—,—,—,Jenny's Nails
ig_jn_240518,2026-05-18T09:00:00,"Jenny's Nails — AAPI heritage month",Image,754,1620,38,9,7,2,28,1,11,Jenny's Nails
ig_jn_240519,2026-05-19T13:33:00,"New dip colors wall tour",Reel,1988,5402,156,19,48,15,98,5,31,Jenny's Nails
ig_jn_240520,2026-05-20T18:50:00,"Client spotlight: Jordan K",Carousel,1204,2802,73,21,25,8,72,4,14,Jenny's Nails
ig_jn_240521,2026-05-21T07:15:00,"Book via link — 10% first visit",Image,1320,2788,41,15,12,5,88,6,35,Jenny's Nails
ig_jn_240522,2026-05-22T15:05:00,"Friday mood: chrome + latte",Reel,2890,7640,301,28,77,19,134,6,41,Jenny's Nails
ig_jn_240523,2026-05-23T11:11:00,"Weekend hours update",Image,2105,4455,62,18,20,6,95,5,27,Jenny's Nails
